index,plate_id,registration_state,plate_type,violation_code,school_zone_violations,violation_borough,violation_description,manhattan_96_below_fine,all_other_fine,fines,row_num,row_pct,cum_share,school_zone_violations_binned,red_light_violations
5861505,KLC6178,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,20998,0.0070388942654029864,0.0026482016845382553,1,0.0
5887755,KLH2646,NY,PAS,36,1,Manhattan,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,21997,0.007373776414709472,0.002774186421090173,1,0.0
5880078,KLF2818,NY,SRF,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,22996,0.007708658564015957,0.0029001711576420904,1,0.0
5971508,KMD4998,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,23994,0.00804320549595577,0.0030260297833466085,1,0.0
5962988,KMC3091,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,24993,0.008378087645262256,0.003152014519898526,1,0.0
5985734,KMK2981,NY,PAS,36,1,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,25993,0.008713305011935414,0.003278125367297843,1,0.0
5978554,KMF9890,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,26993,0.009048522378608573,0.00340423621469716,1,0.0
5940437,KLW3497,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,27993,0.009383739745281732,0.003530347062096477,1,0.0
5952608,KLZ9239,NY,PAS,36,1,Staten Island,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,28993,0.00971895711195489,0.003656457909495794,1,2.0
5946066,KLX5629,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,29993,0.01005417447862805,0.0037825687568951104,1,0.0
6308481,KRD3595,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,30991,0.010388721410567861,0.003908427382599629,1,0.0
6301727,KRA8182,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,31991,0.01072393877724102,0.004034538229998946,1,0.0
6326718,KRL2657,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,32991,0.01105915614391418,0.004160649077398263,1,0.0
6318529,KRJ5053,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,33991,0.011394373510587337,0.00428675992479758,1,0.0
6277234,KPW2761,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,34991,0.011729590877260497,0.004412870772196896,1,0.0
6265949,KPT8270,NY,PAS,36,1,Staten Island,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,35991,0.012064808243933654,0.004538981619596213,1,0.0
6291579,KPZ3071,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,36991,0.012400025610606814,0.00466509246699553,1,1.0
6280998,KPX5377,NY,PAS,36,1,Staten Island,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,37991,0.012735242977279973,0.004791203314394847,1,0.0
6376066,KRV9530,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,38991,0.01307046034395313,0.004917314161794164,1,0.0
6369071,KRU8243,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,39991,0.01340567771062629,0.005043425009193481,1,0.0
6391873,KRZ8346,NY,PAS,36,1,Manhattan,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,40991,0.01374089507729945,0.005169535856592798,1,0.0
