index,plate_id,registration_state,plate_type,violation_code,school_zone_violations,school_zone_school_hour_violations,violation_borough,violation_description,manhattan_96_below_fine,all_other_fine,fines,row_num,row_pct,cum_share,school_zone_violations_binned,red_light_violations
4203241,KPC5871,NY,PAS,36,1,0,Manhattan,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,78989,0.037361689286249784,0.01656545083234103,1,0.0
4169492,KNN9298,NY,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,79989,0.03783468792259472,0.01677516662968678,1,0.0
4184957,KNV7466,NY,PAS,36,1,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,80989,0.03830768655893965,0.016984882427032534,1,0.0
4183483,KNV3666,NY,PAS,36,1,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,81989,0.03878068519528458,0.01719459822437829,1,0.0
4064952,KMK4141,NY,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,82989,0.03925368383162951,0.01740431402172404,1,0.0
4079289,KMP4076,NY,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,83989,0.03972668246797444,0.017614029819069794,1,0.0
4075827,KMN5271,NY,PAS,36,1,0,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,84989,0.040199681104319374,0.017823745616415546,1,0.0
4046832,KMB6664,NY,PAS,36,1,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,85988,0.04067220674202796,0.018033251697963954,1,0.0
4063174,KMJ1379,NY,PAS,36,1,1,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,86988,0.04114520537837289,0.018242967495309705,1,0.0
4058650,KME7791,NY,PAS,36,1,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,87988,0.04161820401471782,0.01845268329265546,1,0.0
4104421,KMW5361,NY,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,88988,0.04209120265106276,0.01866239909000121,1,0.0
4123583,KNB6449,NY,PAS,36,1,0,Staten Island,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,89988,0.04256420128740769,0.018872114887346966,1,0.0
4089512,KMT4803,NY,PAS,36,1,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,90988,0.04303719992375262,0.019081830684692717,1,0.0
4083506,KMR6683,NY,PAS,36,1,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,91988,0.04351019856009755,0.01929154648203847,1,0.0
4103704,KMW3490,NY,PAS,36,1,1,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,92988,0.04398319719644248,0.019501262279384222,1,0.0
5067969,KZS2308,NY,PAS,36,1,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,93987,0.04445572283415107,0.01971076836093263,1,0.0
5061062,KZP9099,NY,PAS,36,1,0,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,94987,0.044928721470496,0.019920484158278386,1,0.0
5079139,KZU6276,NY,PAS,36,1,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,95987,0.04540172010684093,0.020130199955624137,1,0.0
5045563,KZM5762,NY,PAS,36,1,1,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,96987,0.04587471874318586,0.02033991575296989,1,0.0
5042050,KZL9607,NY,PAS,36,1,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,97987,0.04634771737953079,0.020549631550315643,1,1.0
5058640,KZP5267,NY,PAS,36,1,0,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,98987,0.04682071601587573,0.020759347347661397,1,0.0
5111411,KZY8826,NY,PAS,36,1,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,99987,0.04729371465222066,0.020969063145007148,1,0.0
5110653,KZY8333,NY,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,100986,0.04776624028992924,0.021178569226555557,1,0.0
5123622,L1LMAN,NY,SPO,36,1,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,101985,0.04823876592763783,0.021388075308103965,1,0.0
5087631,KZV9090,NY,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,102985,0.04871176456398276,0.021597791105449717,1,0.0
5086600,KZV8067,NY,PAS,36,1,0,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,103985,0.04918476320032769,0.02180750690279547,1,0.0
5094640,KZW9148,NY,PAS,36,1,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,104985,0.04965776183667262,0.022017222700141222,1,0.0
4967485,KZB1923,NY,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,105985,0.05013076047301756,0.022226938497486977,1,0.0
4962953,KZA6984,NY,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,106985,0.05060375910936249,0.022436654294832728,1,0.0
4975336,KZC3075,NY,PAS,36,1,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,107985,0.05107675774570742,0.022646370092178483,1,0.0
4946728,KYX7835,NY,PAS,36,1,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,108985,0.05154975638205235,0.022856085889524234,1,0.0
4940886,KYW4454,NY,PAS,36,1,1,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,109985,0.05202275501839728,0.02306580168686999,1,0.0
4948298,KYX9652,NY,PAS,36,1,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,110985,0.05249575365474221,0.02327551748421574,1,2.0
5023549,KZJ4353,NY,PAS,36,1,0,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,111985,0.05296875229108714,0.023485233281561494,1,0.0
5014123,KZH6900,NY,PAS,36,1,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,112985,0.05344175092743208,0.023694949078907245,1,0.0
5026036,KZJ5667,NY,PAS,36,1,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,113984,0.05391427656514066,0.023904455160455654,1,0.0
4995180,KZF5319,NY,PAS,36,1,0,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,114984,0.05438727520148559,0.02411417095780141,1,0.0
5005876,KZG4524,NY,PAS,36,1,0,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,115984,0.05486027383783053,0.02432388675514716,1,1.0
4998440,KZF7161,NY,PAS,36,1,1,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,116984,0.05533327247417546,0.024533602552492914,1,0.0
5231993,LAP8172,NY,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,117983,0.05580579811188404,0.02474310863404132,1,0.0
5242145,LAS8013,NY,PAS,36,1,1,Staten Island,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,118982,0.05627832374959263,0.024952614715589728,1,0.0
5238434,LAS2890,NY,PAS,36,1,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,119982,0.05675132238593756,0.02516233051293548,1,0.0
5209525,LAK9240,NY,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,120982,0.05722432102228249,0.025372046310281234,1,1.0
5220147,LAM7319,NY,PAS,36,1,0,Staten Island,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,121982,0.05769731965862743,0.025581762107626985,1,1.0
5216892,LAM1139,NY,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,122982,0.05817031829497236,0.02579147790497274,1,0.0
5284635,LBB5500,NY,PAS,36,1,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,123981,0.05864284393268094,0.026000983986521148,1,0.0
5293835,LBD1621,NY,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,124980,0.05911536957038953,0.026210490068069553,1,1.0
5293261,LBC9516,NY,PAS,36,1,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,125980,0.05958836820673446,0.026420205865415308,1,0.0
5246935,LAT7999,NY,PAS,36,1,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,126980,0.06006136684307939,0.02662992166276106,1,0.0
5269685,LAX1024,NY,PAS,36,1,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,127980,0.06053436547942432,0.026839637460106813,1,0.0
5265972,LAV5487,NY,PAS,36,1,1,Staten Island,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,128980,0.06100736411576926,0.027049353257452564,1,0.0
5139251,L62SSC,NJ,PAS,36,1,0,Manhattan,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,129980,0.06148036275211419,0.02725906905479832,1,1.0
5150294,L93SYS,NJ,PAS,36,1,0,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,130980,0.06195336138845912,0.02746878485214407,1,0.0
5146121,L82PHX,NJ,PAS,36,1,0,Manhattan,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,131980,0.06242636002480405,0.027678500649489825,1,0.0
5126173,L26UNT,NJ,PAS,36,1,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,132980,0.06289935866114899,0.027888216446835576,1,0.0
5137019,L56SSJ,NJ,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,133980,0.06337235729749391,0.02809793224418133,1,0.0
5133394,L46RCN,NJ,PAS,36,1,1,Staten Island,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,134980,0.06384535593383885,0.02830764804152708,1,0.0
5174307,LAE4697,NY,PAS,36,1,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,135980,0.06431835457018377,0.028517363838872836,1,0.0
5197508,LAH9455,NY,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,136980,0.0647913532065287,0.02872707963621859,1,1.0
5158134,LAA8412,NY,PAS,36,1,0,Staten Island,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,137980,0.06526435184287363,0.028936795433564342,1,0.0
5151803,L98HDP,NJ,PAS,36,1,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,138980,0.06573735047921857,0.029146511230910097,1,0.0
5171742,LAC9006,NY,PAS,36,1,0,Manhattan,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,139980,0.0662103491155635,0.029356227028255848,1,0.0
4684672,KWM5981,NY,PAS,36,1,1,Staten Island,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,140980,0.06668334775190843,0.029565942825601602,1,0.0
4680093,KWL6921,NY,PAS,36,1,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,141980,0.06715634638825337,0.029775658622947353,1,0.0
4696899,KWR2684,NY,PAS,36,1,0,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,142980,0.06762934502459829,0.029985374420293108,1,0.0
4663907,KWG2775,NY,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,143978,0.06810139766367053,0.030194670786044167,1,0.0
4659858,KWF5264,NY,PAS,36,1,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,144978,0.06857439630001547,0.03040438658338992,1,0.0
4674400,KWK8733,NY,PAS,36,1,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,145978,0.0690473949363604,0.030614102380735676,1,0.0
4732716,KWZ9123,NY,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,146978,0.06952039357270533,0.030823818178081427,1,0.0
